Date,DFM Index,Change,Chage %
2025-06-20T12:00:00,5351.6,81.63,1.549
2025-06-19T12:00:00,5269.97,-36.34,-0.685
2025-06-18T12:00:00,5306.31,-66.05,-1.229
2025-06-17T12:00:00,5372.36,-34.64,-0.641
2025-06-16T12:00:00,5407,42.31,0.789
2025-06-13T12:00:00,5364.69,-102.41,-1.873
2025-06-12T12:00:00,5467.1,-128.4,-2.295
2025-06-11T12:00:00,5595.5,-3.95,-0.071
2025-06-10T12:00:00,5599.45,6.7,0.12
2025-06-09T12:00:00,5592.75,56.82,1.026
2025-06-04T12:00:00,5535.93,14.08,0.255
2025-06-03T12:00:00,5521.85,37.13,0.677
2025-06-02T12:00:00,5484.72,4.21,0.077
2025-05-30T12:00:00,5480.51,-12.15,-0.221
2025-05-29T12:00:00,5492.66,-33.88,-0.613
2025-05-28T12:00:00,5526.54,21.94,0.399
2025-05-27T12:00:00,5504.6,20.14,0.367
2025-05-26T12:00:00,5484.46,20.3,0.372
2025-05-23T12:00:00,5464.16,11.4,0.209
2025-05-22T12:00:00,5452.76,14.34,0.264
2025-05-21T12:00:00,5438.42,-28.89,-0.528
2025-05-20T12:00:00,5467.31,-23.94,-0.436
2025-05-19T12:00:00,5491.25,35.84,0.657
2025-05-16T12:00:00,5455.41,56.64,1.049
2025-05-15T12:00:00,5398.77,39.05,0.729
2025-05-14T12:00:00,5359.72,-2.96,-0.055
2025-05-13T12:00:00,5362.68,28.75,0.539
2025-05-12T12:00:00,5333.93,21.38,0.402
2025-05-09T12:00:00,5312.55,-1.51,-0.028
2025-05-08T12:00:00,5314.06,-23.46,-0.44
2025-05-07T12:00:00,5337.52,-15.45,-0.289
2025-05-06T12:00:00,5352.97,8.29,0.155
2025-05-05T12:00:00,5344.68,53.31,1.007
2025-05-02T12:00:00,5291.37,18.57,0.352
2025-05-01T12:00:00,5272.8,-34.35,-0.647
2025-04-30T12:00:00,5307.15,65.85,1.256
2025-04-29T12:00:00,5241.3,24.83,0.476
2025-04-28T12:00:00,5216.47,53.86,1.043
2025-04-25T12:00:00,5162.61,-33.21,-0.639
2025-04-24T12:00:00,5195.82,-9.52,-0.183
2025-04-23T12:00:00,5205.34,70.94,1.382
2025-04-22T12:00:00,5134.4,30.05,0.589
2025-04-21T12:00:00,5104.35,7.42,0.146
2025-04-18T12:00:00,5096.93,35.41,0.7
2025-04-17T12:00:00,5061.52,8.11,0.16
2025-04-16T12:00:00,5053.41,-24.85,-0.489
2025-04-15T12:00:00,5078.26,21.98,0.435
2025-04-14T12:00:00,5056.28,90.26,1.818
2025-04-11T12:00:00,4966.02,-8.05,-0.162
2025-04-10T12:00:00,4974.07,81.19,1.659
2025-04-09T12:00:00,4892.88,2.55,0.052
2025-04-08T12:00:00,4890.33,91.32,1.903
2025-04-07T12:00:00,4799.01,-152.46,-3.079
2025-04-04T12:00:00,4951.47,-75.76,-1.507
2025-04-03T12:00:00,5027.23,-85.01,-1.663
2025-04-02T12:00:00,5112.24,16,0.314
2025-03-28T12:00:00,5096.24,-24.19,-0.472
2025-03-27T12:00:00,5120.43,3.87,0.076
2025-03-26T12:00:00,5116.56,-0.55,-0.011
2025-03-25T12:00:00,5117.11,0.66,0.013
2025-03-24T12:00:00,5116.45,16.65,0.326
2025-03-21T12:00:00,5099.8,-31.56,-0.615
2025-03-20T12:00:00,5131.36,14.25,0.278
2025-03-19T12:00:00,5117.11,-32.02,-0.622
2025-03-18T12:00:00,5149.13,-22.27,-0.431
2025-03-17T12:00:00,5171.4,30.79,0.599
2025-03-14T12:00:00,5140.61,-44.21,-0.853
2025-03-13T12:00:00,5184.82,27.7,0.537
2025-03-12T12:00:00,5157.12,35.28,0.689
2025-03-11T12:00:00,5121.84,-14.24,-0.277
2025-03-10T12:00:00,5136.08,-86.54,-1.657
2025-03-07T12:00:00,5222.62,-51.13,-0.97
2025-03-06T12:00:00,5273.75,-39.41,-0.742
2025-03-05T12:00:00,5313.16,-41.49,-0.775
2025-03-04T12:00:00,5354.65,27.05,0.508
2025-03-03T12:00:00,5327.6,9.97,0.187
2025-02-28T12:00:00,5317.63,-43.47,-0.811
2025-02-27T12:00:00,5361.1,9.12,0.17
2025-02-26T12:00:00,5351.98,9.55,0.179
2025-02-25T12:00:00,5342.43,7.56,0.142
2025-02-24T12:00:00,5334.87,-24.38,-0.455
2025-02-21T12:00:00,5359.25,-20.96,-0.39
2025-02-20T12:00:00,5380.21,-8.43,-0.156
2025-02-19T12:00:00,5388.64,14.14,0.263
2025-02-18T12:00:00,5374.5,-8.35,-0.155
2025-02-17T12:00:00,5382.85,20.89,0.39
2025-02-14T12:00:00,5361.96,42.76,0.804
2025-02-13T12:00:00,5319.2,15.03,0.283
2025-02-12T12:00:00,5304.17,-31.59,-0.592
2025-02-11T12:00:00,5335.76,74.45,1.415
2025-02-10T12:00:00,5261.31,22.92,0.438
2025-02-07T12:00:00,5238.39,-6.44,-0.123
2025-02-06T12:00:00,5244.83,25.9,0.496
2025-02-05T12:00:00,5218.93,-0.15,-0.003
2025-02-04T12:00:00,5219.08,36.32,0.701
2025-02-03T12:00:00,5182.76,2.39,0.046
2025-01-31T12:00:00,5180.37,25.4,0.493
2025-01-30T12:00:00,5154.97,25.62,0.499
2025-01-29T12:00:00,5129.35,-47.38,-0.915
2025-01-28T12:00:00,5176.73,-14.92,-0.287
2025-01-27T12:00:00,5191.65,-33.89,-0.649
2025-01-24T12:00:00,5225.54,-23.02,-0.439
2025-01-23T12:00:00,5248.56,17.73,0.339
2025-01-22T12:00:00,5230.83,10.57,0.202
2025-01-21T12:00:00,5220.26,24.08,0.463
2025-01-20T12:00:00,5196.18,-15.55,-0.298
2025-01-17T12:00:00,5211.73,-24.1,-0.46
2025-01-16T12:00:00,5235.83,-15.03,-0.286
2025-01-15T12:00:00,5250.86,5.31,0.101
2025-01-14T12:00:00,5245.55,13.05,0.249
2025-01-13T12:00:00,5232.5,4.18,0.08
2025-01-10T12:00:00,5228.32,-1.02,-0.02
2025-01-09T12:00:00,5229.34,20.01,0.384
2025-01-08T12:00:00,5209.33,-4.6,-0.088
2025-01-07T12:00:00,5213.93,23.23,0.448
2025-01-06T12:00:00,5190.7,63.96,1.248
2025-01-03T12:00:00,5126.74,-26.59,-0.516
2025-01-02T12:00:00,5153.33,-5.34,-0.104
2024-12-31T12:00:00,5158.67,5.43,0.105
2024-12-30T12:00:00,5153.24,23.6,0.46
2024-12-27T12:00:00,5129.64,17.66,0.345
2024-12-26T12:00:00,5111.98,28.3,0.557
2024-12-25T12:00:00,5083.68,3.32,0.065
2024-12-24T12:00:00,5080.36,24.03,0.475
2024-12-23T12:00:00,5056.33,-0.97,-0.019
2024-12-20T12:00:00,5057.3,10.75,0.213
2024-12-19T12:00:00,5046.55,9.48,0.188
2024-12-18T12:00:00,5037.07,-42.78,-0.842
2024-12-17T12:00:00,5079.85,32.31,0.64
2024-12-16T12:00:00,5047.54,217.91,4.512
2024-12-13T12:00:00,4829.63,18.02,0.375
2024-12-12T12:00:00,4811.61,16.29,0.34
2024-12-11T12:00:00,4795.32,1.21,0.025
2024-12-10T12:00:00,4794.11,-54,-1.114
2024-12-09T12:00:00,4848.11,-6.34,-0.131
2024-12-06T12:00:00,4854.45,34.08,0.707
2024-12-05T12:00:00,4820.37,-33.27,-0.685
2024-12-04T12:00:00,4853.64,6.3,0.13
2024-11-29T12:00:00,4847.34,23.96,0.497
2024-11-28T12:00:00,4823.38,18.31,0.381
2024-11-27T12:00:00,4805.07,-23.76,-0.492
2024-11-26T12:00:00,4828.83,60.51,1.269
2024-11-25T12:00:00,4768.32,44.68,0.946
2024-11-22T12:00:00,4723.64,-5.94,-0.126
2024-11-21T12:00:00,4729.58,-31.09,-0.653
2024-11-20T12:00:00,4760.67,28.95,0.612
2024-11-19T12:00:00,4731.72,19.06,0.404
2024-11-18T12:00:00,4712.66,-27.1,-0.572
2024-11-15T12:00:00,4739.76,10.53,0.223
2024-11-14T12:00:00,4729.23,-3.58,-0.076
2024-11-13T12:00:00,4732.81,31.41,0.668
2024-11-12T12:00:00,4701.4,48.97,1.053
2024-11-11T12:00:00,4652.43,12.6,0.272
2024-11-08T12:00:00,4639.83,-4.34,-0.093
2024-11-07T12:00:00,4644.17,27.89,0.604
2024-11-06T12:00:00,4616.28,21.75,0.473
2024-11-05T12:00:00,4594.53,9.32,0.203
2024-11-04T12:00:00,4585.21,-36.16,-0.782
2024-11-01T12:00:00,4621.37,30.32,0.66
2024-10-31T12:00:00,4591.05,-13.47,-0.293
2024-10-30T12:00:00,4604.52,21.16,0.462
2024-10-29T12:00:00,4583.36,46.44,1.024
2024-10-28T12:00:00,4536.92,57.73,1.289
2024-10-25T12:00:00,4479.19,15.19,0.34
2024-10-24T12:00:00,4464,-0.19,-0.004
2024-10-23T12:00:00,4464.19,-3.16,-0.071
2024-10-22T12:00:00,4467.35,-10.61,-0.237
2024-10-21T12:00:00,4477.96,8.71,0.195
2024-10-18T12:00:00,4469.25,10.58,0.237
2024-10-17T12:00:00,4458.67,-26.63,-0.594
2024-10-16T12:00:00,4485.3,15.73,0.352
2024-10-15T12:00:00,4469.57,14.55,0.327
2024-10-14T12:00:00,4455.02,14.34,0.323
2024-10-11T12:00:00,4440.68,3.12,0.07
2024-10-10T12:00:00,4437.56,15.23,0.344
2024-10-09T12:00:00,4422.33,-6.67,-0.151
2024-10-08T12:00:00,4429,33.95,0.772
2024-10-07T12:00:00,4395.05,-10.8,-0.245
2024-10-04T12:00:00,4405.85,7.61,0.173
2024-10-03T12:00:00,4398.24,-42.03,-0.947
2024-10-02T12:00:00,4440.27,-37,-0.826
2024-10-01T12:00:00,4477.27,-26.21,-0.582
2024-09-30T12:00:00,4503.48,-17.78,-0.393
2024-09-27T12:00:00,4521.26,-5.35,-0.118
2024-09-26T12:00:00,4526.61,37.92,0.845
2024-09-25T12:00:00,4488.69,27.23,0.61
2024-09-24T12:00:00,4461.46,27.4,0.618
2024-09-23T12:00:00,4434.06,-2.31,-0.052
2024-09-20T12:00:00,4436.37,14.85,0.336
2024-09-19T12:00:00,4421.52,31.32,0.713
2024-09-18T12:00:00,4390.2,-5,-0.114
2024-09-17T12:00:00,4395.2,-0.04,-0.001
2024-09-16T12:00:00,4395.24,14.75,0.337
2024-09-13T12:00:00,4380.49,15.62,0.358
2024-09-12T12:00:00,4364.87,18.45,0.424
2024-09-11T12:00:00,4346.42,-41.06,-0.936
2024-09-10T12:00:00,4387.48,28.36,0.651
2024-09-09T12:00:00,4359.12,-13.75,-0.314
2024-09-06T12:00:00,4372.87,1.83,0.042
2024-09-05T12:00:00,4371.04,6.28,0.144
2024-09-04T12:00:00,4364.76,-5.07,-0.116
2024-09-03T12:00:00,4369.83,13.06,0.3
2024-09-02T12:00:00,4356.77,31.32,0.724
2024-08-30T12:00:00,4325.45,-8.81,-0.203
2024-08-29T12:00:00,4334.26,10.06,0.233
2024-08-28T12:00:00,4324.2,-19.02,-0.438
2024-08-27T12:00:00,4343.22,18.47,0.427
2024-08-26T12:00:00,4324.75,32.08,0.747
2024-08-23T12:00:00,4292.67,-16.41,-0.381
2024-08-22T12:00:00,4309.08,14.18,0.33
2024-08-21T12:00:00,4294.9,40.03,0.941
2024-08-20T12:00:00,4254.87,17.35,0.409
2024-08-19T12:00:00,4237.52,-5.62,-0.132
2024-08-16T12:00:00,4243.14,24.46,0.58
2024-08-15T12:00:00,4218.68,5.26,0.125
2024-08-14T12:00:00,4213.42,28.92,0.691
2024-08-13T12:00:00,4184.5,-16.77,-0.399
2024-08-12T12:00:00,4201.27,6.12,0.146
2024-08-09T12:00:00,4195.15,-0.79,-0.019
2024-08-08T12:00:00,4195.94,-1.73,-0.041
2024-08-07T12:00:00,4197.67,60.35,1.459
2024-08-06T12:00:00,4137.32,91.42,2.26
2024-08-05T12:00:00,4045.9,-191.38,-4.517
2024-08-02T12:00:00,4237.28,-42.61,-0.996
2024-08-01T12:00:00,4279.89,11.84,0.277
2024-07-31T12:00:00,4268.05,-15.96,-0.373
2024-07-30T12:00:00,4284.01,-24.48,-0.568
2024-07-29T12:00:00,4308.49,28.15,0.658
2024-07-26T12:00:00,4280.34,42.69,1.007
2024-07-25T12:00:00,4237.65,9,0.213
2024-07-24T12:00:00,4228.65,12.5,0.296
2024-07-23T12:00:00,4216.15,37.15,0.889
2024-07-22T12:00:00,4179,-1.97,-0.047
2024-07-19T12:00:00,4180.97,11.8,0.283
2024-07-18T12:00:00,4169.17,37.21,0.901
2024-07-17T12:00:00,4131.96,22.3,0.543
2024-07-16T12:00:00,4109.66,-4.89,-0.119
2024-07-15T12:00:00,4114.55,10.62,0.259
2024-07-12T12:00:00,4103.93,12.95,0.317
2024-07-11T12:00:00,4090.98,10.76,0.264
2024-07-10T12:00:00,4080.22,1.93,0.047
2024-07-09T12:00:00,4078.29,-3.67,-0.09
2024-07-08T12:00:00,4081.96,11.72,0.288
2024-07-05T12:00:00,4070.24,4.42,0.109
2024-07-04T12:00:00,4065.82,-13.39,-0.328
2024-07-03T12:00:00,4079.21,15.96,0.393
2024-07-02T12:00:00,4063.25,6.21,0.153
2024-07-01T12:00:00,4057.04,27.04,0.671
2024-06-28T12:00:00,4030,21.04,0.525
2024-06-27T12:00:00,4008.96,2.89,0.072
2024-06-26T12:00:00,4006.07,7.25,0.181
2024-06-25T12:00:00,3998.82,-1.43,-0.036
2024-06-24T12:00:00,4000.25,-11.94,-0.298
2024-06-21T12:00:00,4012.19,25.56,0.641
2024-06-20T12:00:00,3986.63,-1.59,-0.04
2024-06-19T12:00:00,3988.22,4.44,0.111
2024-06-14T12:00:00,3983.78,3.67,0.092
2024-06-13T12:00:00,3980.11,0.93,0.023
2024-06-12T12:00:00,3979.18,-29.75,-0.742
2024-06-11T12:00:00,4008.93,35.41,0.891
2024-06-10T12:00:00,3973.52,-8.73,-0.219
2024-06-07T12:00:00,3982.25,3.5,0.088
2024-06-06T12:00:00,3978.75,-1.57,-0.039
2024-06-05T12:00:00,3980.32,-5.65,-0.142
2024-06-04T12:00:00,3985.97,-7.06,-0.177
2024-06-03T12:00:00,3993.03,15.1,0.38
2024-05-31T12:00:00,3977.93,6.92,0.174
2024-05-30T12:00:00,3971.01,11.21,0.283
2024-05-29T12:00:00,3959.8,-27.09,-0.679
2024-05-28T12:00:00,3986.89,-40.57,-1.007
2024-05-27T12:00:00,4027.46,14.81,0.369
2024-05-24T12:00:00,4012.65,-10.99,-0.273
2024-05-23T12:00:00,4023.64,-34.23,-0.844
2024-05-22T12:00:00,4057.87,-17.31,-0.425
2024-05-21T12:00:00,4075.18,7.98,0.196
2024-05-20T12:00:00,4067.2,-1.03,-0.025
2024-05-17T12:00:00,4068.23,-17.55,-0.43
2024-05-16T12:00:00,4085.78,-7.47,-0.183
2024-05-15T12:00:00,4093.25,-43.6,-1.054
2024-05-14T12:00:00,4136.85,-36.43,-0.873
2024-05-13T12:00:00,4173.28,0.24,0.006
2024-05-10T12:00:00,4173.04,-6.7,-0.16
2024-05-09T12:00:00,4179.74,-13.61,-0.325
2024-05-08T12:00:00,4193.35,37.06,0.892
2024-05-07T12:00:00,4156.29,0.44,0.011
2024-05-06T12:00:00,4155.85,13.13,0.317
2024-05-03T12:00:00,4142.72,1.9,0.046
2024-05-02T12:00:00,4140.82,7.51,0.182
2024-05-01T12:00:00,4133.31,-22.46,-0.54
2024-04-30T12:00:00,4155.77,-4.89,-0.118
2024-04-29T12:00:00,4160.66,12.43,0.3
2024-04-26T12:00:00,4148.23,-21.64,-0.519
2024-04-25T12:00:00,4169.87,2.54,0.061
2024-04-24T12:00:00,4167.33,1.01,0.024
2024-04-23T12:00:00,4166.32,-1.34,-0.032
2024-04-22T12:00:00,4167.66,-6.9,-0.165
2024-04-19T12:00:00,4174.56,-33.61,-0.799
2024-04-18T12:00:00,4208.17,35.24,0.844
2024-04-17T12:00:00,4172.93,-11.38,-0.272
2024-04-16T12:00:00,4184.31,-59.47,-1.401
2024-04-15T12:00:00,4243.78,-0.37,-0.009
2024-04-05T12:00:00,4244.15,-2.52,-0.059
2024-04-04T12:00:00,4246.67,6.62,0.156
2024-04-03T12:00:00,4240.05,-29.35,-0.687
2024-04-02T12:00:00,4269.4,6.11,0.143
2024-04-01T12:00:00,4263.29,17.02,0.401
2024-03-29T12:00:00,4246.27,13.33,0.315
2024-03-28T12:00:00,4232.94,1.15,0.027
2024-03-27T12:00:00,4231.79,-14.44,-0.34
2024-03-26T12:00:00,4246.23,-35.32,-0.825
2024-03-25T12:00:00,4281.55,1.2,0.028
2024-03-22T12:00:00,4280.35,2.74,0.064
2024-03-21T12:00:00,4277.61,-13.76,-0.321
2024-03-20T12:00:00,4291.37,18.61,0.436
2024-03-19T12:00:00,4272.76,-2.62,-0.061
2024-03-18T12:00:00,4275.38,12.9,0.303
2024-03-15T12:00:00,4262.48,-27.86,-0.649
2024-03-14T12:00:00,4290.34,31.1,0.73
2024-03-13T12:00:00,4259.24,6.47,0.152
2024-03-12T12:00:00,4252.77,4.67,0.11
2024-03-11T12:00:00,4248.1,-4.98,-0.117
2024-03-08T12:00:00,4253.08,16.1,0.38
2024-03-07T12:00:00,4236.98,-11.32,-0.266
2024-03-06T12:00:00,4248.3,2.5,0.059
2024-03-05T12:00:00,4245.8,-80.82,-1.868
2024-03-04T12:00:00,4326.62,-29.99,-0.688
2024-03-01T12:00:00,4356.61,47.84,1.11
2024-02-29T12:00:00,4308.77,18.39,0.429
2024-02-28T12:00:00,4290.38,17.83,0.417
2024-02-27T12:00:00,4272.55,49.3,1.167
2024-02-26T12:00:00,4223.25,-2.65,-0.063
2024-02-23T12:00:00,4225.9,-3.31,-0.078
2024-02-22T12:00:00,4229.21,-25.78,-0.606
2024-02-21T12:00:00,4254.99,-22.37,-0.523
2024-02-20T12:00:00,4277.36,4.4,0.103
2024-02-19T12:00:00,4272.96,14.18,0.333
2024-02-16T12:00:00,4258.78,19.83,0.468
2024-02-15T12:00:00,4238.95,15.47,0.366
2024-02-14T12:00:00,4223.48,4.17,0.099
2024-02-13T12:00:00,4219.31,8.35,0.198
2024-02-12T12:00:00,4210.96,27.1,0.648
2024-02-09T12:00:00,4183.86,24.76,0.595
2024-02-08T12:00:00,4159.1,-2.84,-0.068
2024-02-07T12:00:00,4161.94,8.2,0.197
2024-02-06T12:00:00,4153.74,-76.96,-1.819
2024-02-05T12:00:00,4230.7,1.96,0.046
2024-02-02T12:00:00,4228.74,8.39,0.199
2024-02-01T12:00:00,4220.35,51.27,1.23
2024-01-31T12:00:00,4169.08,0.65,0.016
2024-01-30T12:00:00,4168.43,-2.16,-0.052
2024-01-29T12:00:00,4170.59,7.26,0.174
2024-01-26T12:00:00,4163.33,-10.22,-0.245
2024-01-25T12:00:00,4173.55,-7.92,-0.189
2024-01-24T12:00:00,4181.47,73.95,1.8
2024-01-23T12:00:00,4107.52,26.28,0.644
2024-01-22T12:00:00,4081.24,-0.47,-0.012
2024-01-19T12:00:00,4081.71,28.93,0.714
2024-01-18T12:00:00,4052.78,-37.86,-0.926
2024-01-17T12:00:00,4090.64,8.3,0.203
2024-01-16T12:00:00,4082.34,-18.95,-0.462
2024-01-15T12:00:00,4101.29,-2.82,-0.069
2024-01-12T12:00:00,4104.11,-13.87,-0.337
2024-01-11T12:00:00,4117.98,-12.04,-0.292
2024-01-10T12:00:00,4130.02,12.3,0.299
2024-01-09T12:00:00,4117.72,28.32,0.693
2024-01-08T12:00:00,4089.4,1.41,0.034
2024-01-05T12:00:00,4087.99,0.64,0.016
2024-01-04T12:00:00,4087.35,9.77,0.24
2024-01-03T12:00:00,4077.58,-13.47,-0.329
2024-01-02T12:00:00,4091.05,31.25,0.77
